@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
196,414,44,1,240,0.004149,0.90393,0.99759,0.90393,0.00241,0.948454,0.593705,1.522523,0.930324
197,413,45,1,240,0.004149,0.901747,0.997585,0.901747,0.002415,0.947248,0.592275,1.522514,0.930449
198,412,46,1,240,0.004149,0.899563,0.997579,0.899563,0.002421,0.946039,0.590844,1.522505,0.935
199,411,47,1,240,0.004149,0.89738,0.997573,0.89738,0.002427,0.944828,0.589413,1.522497,0.93532
200,410,48,1,240,0.004149,0.895197,0.997567,0.895197,0.002433,0.943613,0.587983,1.522487,0.937497
201,409,49,1,240,0.004149,0.893013,0.997561,0.893013,0.002439,0.942396,0.586552,1.522478,0.938641
202,408,50,1,240,0.004149,0.89083,0.997555,0.89083,0.002445,0.941176,0.585122,1.522469,0.94
203,405,53,1,240,0.004149,0.884279,0.997537,0.884279,0.002463,0.9375,0.58083,1.522442,0.946381
204,404,54,1,240,0.004149,0.882096,0.997531,0.882096,0.002469,0.936269,0.579399,1.522432,0.95
205,402,56,1,240,0.004149,0.877729,0.997519,0.877729,0.002481,0.933798,0.576538,1.522414,0.96
206,401,57,1,240,0.004149,0.875546,0.997512,0.875546,0.002488,0.932558,0.575107,1.522404,0.96
207,397,61,1,240,0.004149,0.866812,0.997487,0.866812,0.002513,0.92757,0.569385,1.522366,0.96021
208,396,62,1,240,0.004149,0.864629,0.997481,0.864629,0.002519,0.926316,0.567954,1.522357,0.962959
209,395,63,1,240,0.004149,0.862445,0.997475,0.862445,0.002525,0.925059,0.566524,1.522347,0.965676
210,394,64,1,240,0.004149,0.860262,0.997468,0.860262,0.002532,0.923798,0.565093,1.522337,0.969802
211,393,65,1,240,0.004149,0.858079,0.997462,0.858079,0.002538,0.922535,0.563662,1.522327,0.97
212,389,69,1,240,0.004149,0.849345,0.997436,0.849345,0.002564,0.917453,0.55794,1.522288,0.971041
213,388,70,1,240,0.004149,0.847162,0.997429,0.847162,0.002571,0.916175,0.556509,1.522277,0.971744
214,387,71,1,240,0.004149,0.844978,0.997423,0.844978,0.002577,0.914894,0.555079,1.522267,0.975
215,386,72,1,240,0.004149,0.842795,0.997416,0.842795,0.002584,0.913609,0.553648,1.522257,0.98
216,381,77,0,241,0,0.831878,1,0.831878,0,0.908224,0.545064,1.526201,0.985257
217,380,78,0,241,0,0.829694,1,0.829694,0,0.906921,0.543634,1.526201,0.987297
218,379,79,0,241,0,0.827511,1,0.827511,0,0.905615,0.542203,1.526201,0.987833
219,378,80,0,241,0,0.825328,1,0.825328,0,0.904306,0.540773,1.526201,0.989961
220,377,81,0,241,0,0.823144,1,0.823144,0,0.902994,0.539342,1.526201,0.99
221,359,99,0,241,0,0.783843,1,0.783843,0,0.878825,0.513591,1.526201,0.990922
222,358,100,0,241,0,0.781659,1,0.781659,0,0.877451,0.51216,1.526201,0.991558
223,357,101,0,241,0,0.779476,1,0.779476,0,0.876074,0.51073,1.526201,0.992683
224,356,102,0,241,0,0.777293,1,0.777293,0,0.874693,0.509299,1.526201,0.992723
225,355,103,0,241,0,0.775109,1,0.775109,0,0.873309,0.507868,1.526201,0.994401
226,354,104,0,241,0,0.772926,1,0.772926,0,0.871921,0.506438,1.526201,0.996667
227,353,105,0,241,0,0.770742,1,0.770742,0,0.87053,0.505007,1.526201,0.998818
228,352,106,0,241,0,0.768559,1,0.768559,0,0.869136,0.503577,1.526201,0.999646
229,351,107,0,241,0,0.766376,1,0.766376,0,0.867738,0.502146,1.526201,0.999755
230,350,108,0,241,0,0.764192,1,0.764192,0,0.866337,0.500715,1.526201,1
231,0,458,0,241,0,0,?,0,?,?,0,?,1.00001
